date,volume,open,close,high,low,adjclose,T10Y2Y
6/29/2018,97592500,272.1199951,271.2799988,273.6600037,271.1499939,267.3121948,0.89
6/28/2018,76650500,269.2900085,270.8900146,271.75,268.4899902,266.927887,0.89
6/27/2018,105110700,272.2600098,269.3500061,273.8699951,269.1799927,265.4104004,0.87
6/26/2018,68547400,271.6400146,271.6000061,272.5599976,270.7900085,267.6275024,0.91
6/25/2018,137854200,273.4400024,271,273.6199951,269.1000061,267.0362854,0.93
6/22/2018,54898500,275.6600037,274.7399902,275.7900085,274.4899902,270.7215881,0.9
6/21/2018,71061400,275.9599915,274.2399902,275.980011,273.6799927,270.2288818,0.91
6/20/2018,53785500,276.269989,275.9700012,276.7200012,275.5899963,271.9335938,0.9
6/19/2018,97531500,274,275.5,275.75,273.5299988,271.470459,0.91
6/18/2018,52917600,275.4899902,276.5599976,276.7000122,274.9500122,272.5149841,0.92
6/15/2018,120041600,276.6000061,277.1300049,277.5100098,275.3500061,273.0766296,0.96
6/14/2018,77097600,279.0100098,278.730011,279.3299866,278.0599976,273.4254456,0.96
6/13/2018,79070600,279.1900024,278.0299988,279.480011,277.7999878,272.738739,0.96
6/12/2018,72329000,279.0299988,278.9200134,279.3299866,278.1900024,273.6118164,0.93
6/11/2018,58892500,278.4400024,278.5599976,279.3699951,278.3099976,273.258667,0.93
6/8/2018,72139700,276.8500061,278.1900024,278.25,276.6600037,272.895752,0.89
6/7/2018,72969400,277.9500122,277.3699951,278.2799988,276.3399963,272.0913391,0.88
6/6/2018,62732200,275.7900085,277.3999939,277.519989,275.0899963,272.1207581,0.9
6/5/2018,51135000,275.0499878,275.1000061,275.5299988,274.1799927,269.864502,0.9
6/4/2018,45385200,274.5299988,274.8999939,275.1900024,274.2600098,269.668335,0.91
6/1/2018,71258400,272.4100037,273.6000061,273.9400024,272.3299866,268.3930969,0.95
5/31/2018,93519900,272.1499939,270.9400024,272.4899902,270.2600098,265.7836609,0.98
5/30/2018,69678400,270.5,272.6099854,273.1099854,270.4200134,267.421875,0.98
5/29/2018,115908600,270.3099976,269.019989,271.1700134,267.7600098,263.9002075,0.98
5/25/2018,56374800,272.1499939,272.1499939,272.8599854,271.5799866,266.9706726,1
5/24/2018,76043800,272.9100037,272.7999878,273.2200012,270.7799988,267.6083069,0.98
5/23/2018,61021700,271.1700134,273.3599854,273.3900146,270.9899902,268.1576233,0.99
5/22/2018,52966400,273.9599915,272.6099854,274.25,272.2399902,267.421875,0.97
5/21/2018,58025900,273.0100098,273.3699951,273.980011,272.5700073,268.1674194,0.92
5/17/2018,56536400,271.9400024,272.0100098,273.230011,271.1300049,266.8333435,0.94
5/16/2018,53942600,271.1400146,272.2399902,272.7600098,271.1099854,267.0588989,0.93
5/15/2018,87036100,271.5899963,271.1000061,271.6099854,270.0299988,265.9406433,0.89
5/14/2018,54790600,273.3399963,272.980011,274.0799866,272.3599854,267.7848816,0.88
5/11/2018,59871500,272.1600037,272.8500061,273.1499939,271.5799866,267.6573181,0.83
5/10/2018,72063900,270.3399963,272.019989,272.3900146,270.2200012,266.8431091,0.78
5/9/2018,59666100,267.6799927,269.5,269.8699951,267.0899963,264.3710938,0.81
5/8/2018,67499200,266.5,266.9200134,267.3299866,265.1499939,261.8402405,0.81
5/7/2018,55304900,266.8900146,266.9200134,268.019989,266.1099854,261.8402405,0.8
5/4/2018,91222100,261.519989,266.019989,266.7900085,261.1499939,260.9573364,0.8
5/3/2018,136311500,262.2600098,262.6199951,263.3599854,259.0499878,257.6220093,0.83
5/2/2018,86368900,264.7600098,263.2000122,265.6799927,262.7600098,258.1910095,0.84
